"tweet","retweets"
"RT @alexmorgan13: Congrats @Simone_Biles @Aly_Raisman @gabrielledoug @lzhernandez02 @MadisonKocian on a huge win! #GoldGoldGold  https://t.‚Ä¶",286
"RT @USAGym: It's currently touch and go. @RachelAxon @Simone_Biles @Salto_Coach https://t.co/hkwXGeVh2a",285
"RT @acptachi: A reporter asks @Simone_Biles to describe herself in one word. 

First she answers with ""happy"" then settles on ""hungry.""",284
"RT @nbcwashington: #Rio2016: Simone Biles, Laurie Hernandez win bronze and silver on balance beam 
https://t.co/XBTvP0DpJy https://t.co/cgs‚Ä¶",283
"RT @BleacherReport: .@MichaelPhelps, @katieledecky and @Simone_Biles earned this ‚ÄúSports Illustrated‚Äù cover Ì†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖ https://t.co/DMWULRHXmi htt‚Ä¶",282
"RT @lzhernandez02: Update: @Simone_Biles has the cutest sneeze.",281
"RT @TheDrunkJake: The uncensored version of @Simone_Biles floor routine that the Olympics didn't want you to see https://t.co/IPBywTK8ue",280
"RT @meanpIastic: simone biles' floor routine is inceEDIBLE https://t.co/QzFESmWaHv",279
"RT @EW: Simone Biles and Zac Efron finally meet and it's adorable: https://t.co/iPtxtO4JJ0 https://t.co/IZBU6XbyJt",278
"Simone Biles and Zac Efron finally meet and it's adorable: https://t.co/iPtxtO4JJ0 https://t.co/IZBU6XbyJt",278
"RT @FemaleSccrProbs: Zac Efron flew to rio and surprised Simone Biles. She's crying, I'm crying, everyone's VRYING",277
"RT @si_vault: Outtakes from the Michael Phelps, Katie Ledecky and Simone Biles SI Cover Shoot: https://t.co/01nV5T6QL5 https://t.co/QJvHMpl‚Ä¶",276
"RT @Blavity: Simone Biles wraps up #Olympics with 5th medal, is first US gymnast to win 4 gold medals https://t.co/EzzFomdVOi https://t.co/‚Ä¶",275
"RT @XANTAPLUS: Meet Simone Biles, the best Gymnasts in the whole world. Don't try her moves at home pls. #BlackExcellence. https://t.co/Yh2‚Ä¶",275
"RT @nytimes: Simone Biles is America's first Olympic vault champion.
Her gold medal tally: Ì†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖ
https://t.co/88bguOl7yT https://t.co/eves3WJ‚Ä¶",274
"RT @NBCNewYork: It's the last day of gymnastics in #Rio2016 and your final chance to see Simone Biles in Olympic action https://t.co/Z5COIN‚Ä¶",273
"RT @JustJared: Aww!!! Simone Biles finally met Zac Efron and she got a cute kiss on the cheek! VIDEO: https://t.co/SNhYXYqw4z https://t.co/‚Ä¶",272
"Aww!!! Simone Biles finally met Zac Efron and she got a cute kiss on the cheek! VIDEO: https://t.co/SNhYXYqw4z https://t.co/SCTLCNbBqI",272
"RT @zigzagziall: OKAY BUT THE FACT THAT ZAC EFRON SURPRISED SIMONE BILES IS KILLING ME THATS SO CUTE",271
"Simone Biles Gets a Kiss From Zac Efron in Rio: The gymnast won her fourth gold medal the same day she met he... https://t.co/b8VxUkzKxn",271
"RT @DvoraMeyers: Thanks @dodaistewart for asking me to write this. It was great to write about black gymnasts that many had forgotten https‚Ä¶",271
"RT @EmilySimpson72: I want to be Simone Biles. But not because she's an Olympic athlete with 4 gold medals but because she got to meet Zac‚Ä¶",271
"RT @stevenmarthur: Simone Biles jumps 14 feet into the air and lands on a bald eagle, which soars over the skies of Rio...she's done it. Sh‚Ä¶",271
"I want to be Simone Biles. But not because she's an Olympic athlete with 4 gold medals but because she got to meet Zac Efron.",271
"RT @newportfosters: I WANT TO BE SIMONE BILES SO BAD RIGHT NOW https://t.co/e0Fi1yrRkx",271
"RT @JaiRich: Simone '4'9"" G.O.A.T.' Biles ladies and gentlemen *drops mic* #Rio2106",271
"OKAY BUT THE FACT THAT ZAC EFRON SURPRISED SIMONE BILES IS KILLING ME THATS SO CUTE",271
"RT @7olympics: #Gymnastics: #USA's .@Simone_Biles with a near perfect routine! Watch it LIVE on 7TWO. #Rio2016 #7Olympics  https://t.co/6r4‚Ä¶",271
"RT @1027KIISFM: Do @Simone_Biles &amp; @ZacEfron need a couples' hashtag? Ì†ΩÌ∏ÜÌ†ΩÌ∏ò https://t.co/6cUCM6tliR https://t.co/CG2cuFqXiG",271
"Do @Simone_Biles &amp; @ZacEfron need a couples' hashtag? Ì†ΩÌ∏ÜÌ†ΩÌ∏ò https://t.co/6cUCM6tliR https://t.co/CG2cuFqXiG",271
"RT @lMAGINEHALSEY: @Simone_Biles @ZacEfron I wish I was important enough to meet zac",271
"RT @7olympics: That's #Gold for #USA's .@Simone_Biles! Watch it LIVE on 7WO and on our 'Olympics on 7' app. #Rio2016 https://t.co/S1qZHXX2cl",271
"RT @SirEviscerate: Simone Biles is 4'8"", which, according to the billboards I see, means she should still use a booster seat.",271
"RT @BlackPRWire: Simone Biles racks up her 4th Olympic Gold Medal in Women's Floor Exercise!! This is one for the books!!! #Rio2016 https:/‚Ä¶",271
"RT @okayplayer: Simone Biles makes history with fourth gold medal: https://t.co/Ab4Gz8RJ5O",271
"RT @GNNgymnastnews: Simone Biles just Loves Zac Efron &amp; he was In Rio to Congratulate her - he kissed her cheek! Check it out! https://t.co‚Ä¶",271
"RT @thisisinsider: 18 of the most gravity-defying pictures of Simone Biles from the Rio Olympics https://t.co/Vm4em3ani3 https://t.co/CUxRr‚Ä¶",271
"Simone Biles makes history with fourth gold medal: https://t.co/Ab4Gz8RJ5O",271
"RT @Reddy: Top U.S. lawmakers want to give U.S. Olympic medalists a tax break for their bonuses. Tax-policy purists are aghast. https://t.c‚Ä¶",271
"Simone Biles just Loves Zac Efron &amp; he was In Rio to Congratulate her - he kissed her cheek! Check it out! https://t.co/yVoVUzJR5F",271
"RT @DrBobBullard: Superstar Simone Biles Wins Her Fourth Gold Medal And Makes History https://t.co/YrVyXWkOjO",271
"RT @TeamUSA: A great day for @USAGym! @lzhernandez02 &amp; @Simone_Biles finish with #silver and #bronze!

https://t.co/6uFX0nR9x6 https://t.co‚Ä¶",270
"RT @LaureusSport: Age: 1Ô∏è‚É£9Ô∏è‚É£

Most Decorated Ì†ºÌ∑∫Ì†ºÌ∑∏ Gymnast of All Time: ‚úÖ

Is a Laureus Award next for Simone Biles? 

#LaureusWorthy https:/‚Ä¶",269
"RT @Gary_Bainbridge: I like when Simone Biles does one of her sextuple somersaults and then you see her thinking, ""Better land now, or they‚Ä¶",268
"RT @CBSNews: Simone Biles goes out of Rio in style -- making Olympic history with another gold: https://t.co/oigxICvfyX https://t.co/UFGdkH‚Ä¶",268
"RT @Jaclynhill: Does anyone else have a major girl crush on Simone Biles? Or is it just me? I could watch her tumble ALLLL DAY!!!!Ì†ΩÌ≤™Ì†ºÌøºÌ†ΩÌπåÌ†ºÌøºÌ†ºÌæâ",267
"RT @HoustonTexans: #TFW you're the first US female gymnast to win 4 golds in a single Olympics.

Ì†ºÌøÖ Ì†ºÌøÖ Ì†ºÌøÖ Ì†ºÌøÖ  

Congrats, @Simone_Biles! https:‚Ä¶",266
"RT @AishaHinds: Her strength. Her smile. Her story. @Simone_Biles is the embodiment of a true superhero... https://t.co/eFdBX7QfFx",266
"RT @DailyMail: #USA's Simone Biles at #Rio2016:

#gold
#gold
#gold
#bronze
#gold

https://t.co/JuAtvrKpMI https://t.co/yKdpasXznK",266
"RT @Hersheys: Closing out her Rio Olympic journey with a #Gold medal routine on floor! Congrats to @Simone_Biles on five overall medals! #H‚Ä¶",265
"RT @SuperSportTV: Simone Biles won her fourth #Gold as she took the Women's floor exercise.
Incredible effort.
#Rio2016 https://t.co/Fb7kUb‚Ä¶",265
"RT @mashable: Simone Biles got to meet her #1 crush (Ì†ΩÌ≥∑: @USAgym) https://t.co/SZih2jf1QF #Rio2016 https://t.co/sTxse5EwGy",264
"RT @TexansCheer: that dance you do when you win your 5th medal at the #Olympics
get yo' life @Simone_Biles!
#TeamUSA
 
@HTC_Speaker https:/‚Ä¶",264
"Simone Biles got to meet her #1 crush (Ì†ΩÌ≥∑: @USAgym) https://t.co/SZih2jf1QF #Rio2016 https://t.co/sTxse5EwGy",264
"RT @BuzzFeed: Zac Efron finally met Simone Biles and it was the cutest thing ever https://t.co/xVc8F72YMG https://t.co/9chMt7x3cM",263
"Zac Efron finally met Simone Biles and it was the cutest thing ever https://t.co/xVc8F72YMG https://t.co/9chMt7x3cM",263
"RT @camilacabello97: WHOAHHHH @Simone_Biles, @Aly_Raisman's you guys killed it today !!!! ¬† so proud of our US gymnastics team Ì†ΩÌ≤´Ì†ΩÌ≤´Ì†ΩÌ≤´Ì†ΩÌ≤´ #Rio2016",262
"RT @GMA: Simone Biles ""on cloud 9"" after getting a kiss on the cheek from celebrity crush Zac Efron. https://t.co/M91KrXDIQ7 https://t.co/k‚Ä¶",261
"Simone Biles ""on cloud 9"" after getting a kiss on the cheek from celebrity crush Zac Efron. https://t.co/M91KrXDIQ7 https://t.co/kyjJ6DADMD",261
"RT @si_vault: LOVE this week's SI cover, featuring @katieledecky @MichaelPhelps and @Simone_Biles. https://t.co/NZM0SpMcRr https://t.co/BFf‚Ä¶",261
"RT @SportsCenter: Simone Biles is the first American female gymnast to win 3 golds in a single Olympics &amp; an individual gold on vault. http‚Ä¶",260
"RT @G_Eazy: @Simone_Biles congrats on all the success in Rio! Inspiring to see you slay everything Ì†ΩÌπåÌ†ºÌøº",259
"RT @Steph_I_Will: Simone Biles
Serena Williams
Simone Manuel
Misty Copeland

Art from artist at Marvel. https://t.co/eerppsduWl",258
"RT @Steph_I_Will: Simone Biles
Serena Williams
Simone Manuel
Misty Copeland

Art from artist at Marvel. https://t.co/eerppsduWl",257
"RT @Salto_Coach: When you give your coach the hook up...@Simone_Biles https://t.co/2KYH7seqXd",256
"RT @NBCOlympics: .@Simone_Biles wins #Gold, becomes 1st #USA woman ever to become Olympic champion on vault: https://t.co/4K3gEMSUjm https:‚Ä¶",255
"RT @NBCSports: .@Simone_Biles, @Aly_Raisman go gold and silver, respectively, in the floor final! #Rio2016 https://t.co/gYCfUVfMLS https://‚Ä¶",254
"RT @el_maase: I thought I loved Simone Biles until I saw this..... Ì†ΩÌ≤îÌ†ΩÌ≤îÌ†ΩÌ≤îÌ†ΩÌ≤îÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠ https://t.co/PoUphrLahK",253
"RT @HOLLYWIRE: After getting a smooch from @ZacEfron, we can all agree that @Simone_Biles is the REAL champion of the Rio Olympics. https:/‚Ä¶",253
"RT @Refinery29: This video of Simone Biles and Zac Efron kissing is EVERYTHINGGGGG: https://t.co/DbMgZb546w https://t.co/1Yq7irkPig",253
"RT @kentspeakman: See Zac Efron Fulfill His Olympic Dream of Meeting Simone Biles via https://t.co/E3BvIjdvxx https://t.co/EfaXb6x4R7 https‚Ä¶",253
"After getting a smooch from @ZacEfron, we can all agree that @Simone_Biles is the REAL champion of the Rio Olympics. https://t.co/NdSPMAb0QH",253
"RT @HSLDA: Help us congratulate @Simone_Biles of #TeamUSA for winning another gold medal! &gt;&gt; https://t.co/VKDGdYZVCJ",253
"RT @ameyaw112: Call me Mrs Efron! Olympic gold medalist, Simone Biles relishes kiss from Zac¬†Efron https://t.co/BENfMA6jlJ https://t.co/FDV‚Ä¶",253
"RT @laurenduca: It is a *travesty* that Zac Efron did not wear a gold speedo to meet Simone Biles https://t.co/jyEcscUmdD",253
"I thought I loved Simone Biles until I saw this..... Ì†ΩÌ≤îÌ†ΩÌ≤îÌ†ΩÌ≤îÌ†ΩÌ≤îÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠ https://t.co/PoUphrLahK",253
"RT @7olympics: ICYMI: #USA #Gymnastics star @Simone_Biles grabbed a 4th #Gold at #Rio2016 #7olympics https://t.co/zZ3mztbRwM https://t.co/J‚Ä¶",253
"Call me Mrs Efron! Olympic gold medalist, Simone Biles relishes kiss from Zac¬†Efron https://t.co/BENfMA6jlJ https://t.co/FDVbNwDuDX",253
"This video of Simone Biles and Zac Efron kissing is EVERYTHINGGGGG: https://t.co/DbMgZb546w https://t.co/1Yq7irkPig",253
"RT @seventeen: In One Snapchat, Simone Biles Proves How Superior She Is https://t.co/L5g2HIoS5H https://t.co/tbaUhav5KY",253
"RT @tbhmorley: IM SHOOK ‚ö°Ô∏è ‚ÄúUPDATE: Simone Biles &amp; Zac Efron together at last‚Äù

https://t.co/gSh2uojEoH",253
"RT @sarahcymanski: Simone Biles probably grew up watching HSM crushing on Zac Efron (who didn't) &amp; now they're like A THING what a tale.. u‚Ä¶",253
"In One Snapchat, Simone Biles Proves How Superior She Is https://t.co/L5g2HIoS5H https://t.co/tbaUhav5KY",253
"See Zac Efron Fulfill His Olympic Dream of Meeting Simone Biles via https://t.co/E3BvIjdvxx https://t.co/EfaXb6x4R7 https://t.co/t6cH7pOXq4",253
"RT @juliafincher: Zac Efron + Simone Biles = love at first tweet https://t.co/fYliHXSgJ6",253
"RT @papermagazine: Simone Biles just made history with her FOURTH Olympic gold today https://t.co/UclCrMwIIM #Rio2016 #queen https://t.co/B‚Ä¶",253
"IM SHOOK ‚ö°Ô∏è ‚ÄúUPDATE: Simone Biles &amp; Zac Efron together at last‚Äù

https://t.co/gSh2uojEoH",253
"RT @HuffPostEnt: So @Simone_Biles finally met @ZacEfron and he gave her a kiss Ì†ΩÌ∏±Ì†ΩÌ∏ç https://t.co/zpZSNb5tO1 https://t.co/EMhV8CVrBz",253
"RT @TripleTwistGym: Today must be the best day of @Simone_Biles life. She won her fourth Olympic gold medal and met @ZacEfron! Nothing can‚Ä¶",253
"Zac Efron + Simone Biles = love at first tweet https://t.co/fYliHXSgJ6",253
"RT @Gymtertainment: That moment when you win the AA #GOLD medal! @Simone_Biles and @Salto_Coach: what a moment ‚ù§Ô∏è #TeamUSA #Rio2016 https:/‚Ä¶",252
"RT @mic: Annnnnd Simone Biles just got her 4th gold for her floor routine #Rio2016 Ì†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖ https://t.co/WRNTLPnBlx",251
"RT @AfroDijiac: Simone Biles has absolutely no regard for the laws of physics.

Disrespectful",251
"RT @everymatt: Ì†ºÌº∏arthur nory and simone biles appreciation tweetÌ†ºÌº∏ #GinasticaArtistica https://t.co/qUmRf0gTc2",250
"RT @everymatt: Ì†ºÌº∏arthur nory and simone biles appreciation tweetÌ†ºÌº∏ #GinasticaArtistica https://t.co/qUmRf0gTc2",249
"RT @everymatt: Ì†ºÌº∏arthur nory and simone biles appreciation tweetÌ†ºÌº∏ #GinasticaArtistica https://t.co/qUmRf0gTc2",248
"RT @everymatt: Ì†ºÌº∏arthur nory and simone biles appreciation tweetÌ†ºÌº∏ #GinasticaArtistica https://t.co/qUmRf0gTc2",247
"RT @TheOnion: Simone Biles Wins Gold With Impeccable Ceiling Routine https://t.co/J4i5WpulR7 #Rio2016 https://t.co/llxxBPKaIF",246
"RT @DylansFreshTake: Pick up a copy up of this weeks @SInow. Katie Ledecky, Michael Phelps, and Simone Biles on the cover. #Rio2016 #USA ht‚Ä¶",245
"RT @BuzzFeedNews: Simone Biles said this after winning gold today at #Rio2016 Ì†ΩÌ¥• https://t.co/mQXfzX8pAu",244
